model,year,price,type,distance,fuel,tax,miles per galoon,size
2,2018.0,31995.0,2,11300.0,2,150.0,36.2,3.0
2,2016.0,16998.0,2,21786.0,0,20.0,65.7,2.1
2,2017.0,23995.0,2,32800.0,0,30.0,65.7,2.1
2,2017.0,17998.0,2,16291.0,2,145.0,50.4,2.0
2,2016.0,17890.0,0,44184.0,2,125.0,50.4,2.0
2,2014.0,10995.0,1,85026.14414204747,0,20.0,68.9,2.1
2,2016.0,17998.0,2,36587.0,1,0.0,97.62807002109429,2.0
2,2018.0,23498.0,2,17093.0,0,145.0,67.3,2.1
2,2016.0,17998.0,1,26100.0,0,20.0,68.9,2.1
2,2015.0,12298.0,2,68718.0,2,125.0,53.3,2.0
2,2014.0,15698.0,2,39920.0,0,30.0,64.2,2.1
2,2016.0,13998.0,1,22117.0,2,125.0,53.3,2.0
2,2014.0,16995.0,0,37600.0,0,30.0,64.2,2.1
2,2018.0,20685.0,2,21929.0,0,145.0,64.2,2.1
2,2014.0,10498.0,2,51929.0,0,145.0,53.3,2.1
2,2009.88029543607,4200.0,0,85026.14414204747,0,235.0,42.2,2.1
2,2019.0,28498.0,2,4285.0,0,145.0,61.4,2.0
2,2015.0,14698.0,2,43331.0,0,20.0,64.2,2.1
2,2017.0,24998.0,2,28234.0,2,160.0,43.5,2.0
2,2016.0,18998.0,2,28388.0,0,30.0,64.2,1.6
2,2017.0,19890.0,0,30281.0,0,150.0,60.1,2.1
2,2016.0,20498.0,2,27968.0,0,125.0,60.1,2.1
2,2019.0,31998.0,2,2000.0,2,145.0,42.2,2.0
2,2009.88029543607,3890.0,0,85026.14414204747,2,322.02595486019436,32.5,1.8
2,2016.0,19498.0,2,22803.0,0,30.0,61.4,2.1
2,2017.0,18998.0,2,23760.0,0,30.0,64.2,2.1
2,2016.0,14698.0,1,19864.0,0,20.0,70.6,2.1
2,2017.0,20998.0,2,16902.0,0,145.0,60.1,2.1
2,2016.0,18498.0,2,31891.0,1,0.0,97.62807002109429,2.0
2,2017.0,24995.0,0,14000.0,2,145.0,47.1,2.0
2,2019.0,29998.0,2,28000.0,2,145.0,44.1,2.0
2,2016.0,19698.0,0,25107.0,1,0.0,97.62807002109429,2.0
3,2015.0,17995.0,0,41100.0,0,20.0,67.3,2.1
3,2015.0,18498.0,2,18982.0,0,20.0,67.3,2.1
3,2013.0,11998.0,1,33562.0,2,125.0,50.4,1.6
3,2017.0,19295.0,0,39643.0,0,20.0,67.3,2.1
3,2014.0,16995.0,2,37208.0,0,30.0,62.8,2.1
3,2014.0,17298.0,2,33274.0,0,30.0,62.8,2.1
3,2015.0,19498.0,2,20820.0,0,20.0,67.3,2.1
3,2015.0,17863.0,2,14360.0,0,20.0,62.8,2.1
3,2014.0,15998.0,2,42514.0,0,30.0,62.8,2.1
3,2015.0,17498.0,1,15557.0,2,125.0,50.4,1.6
3,2015.0,16498.0,1,25920.0,2,125.0,51.4,1.6
4,2017.0,20480.0,0,31949.0,0,150.0,58.9,2.1
4,2016.0,14480.0,0,84000.0,2,200.0,42.8,2.0
4,2014.0,15990.0,0,45000.0,0,30.0,62.8,2.1
4,2017.0,18790.0,0,8423.0,0,150.0,67.3,2.1
5,2010.0,5880.0,0,40000.0,2,300.0,34.0,1.8
6,2016.0,22998.0,2,25536.0,0,160.0,51.4,3.0
6,2017.0,23998.0,2,27354.0,0,160.0,49.6,3.0
6,2014.0,15998.0,2,31815.0,0,145.0,54.3,2.1
6,2019.0,37352.0,0,3000.0,0,150.0,45.6,2.0
6,2019.0,44498.0,2,5428.0,0,145.0,47.9,2.9
6,2019.0,39998.0,2,926.0,0,145.0,45.6,2.0
6,2017.0,26166.0,0,9165.0,0,150.0,51.4,3.0
6,2016.0,25077.0,0,13887.0,0,165.0,49.6,3.0
6,2016.0,21998.0,2,29306.0,0,160.0,51.4,3.0
6,2018.0,34990.0,0,18837.0,0,150.0,47.9,2.9
7,2017.0,20998.0,2,22930.0,0,145.0,72.4,2.0
7,2016.0,18998.0,2,23951.0,0,125.0,58.9,2.1
7,2015.0,19498.0,2,22877.0,0,150.0,54.3,3.0
7,2016.0,16480.0,0,48889.0,0,125.0,58.9,2.1
7,2015.0,13990.0,0,52000.0,0,125.0,60.1,2.1
7,2017.0,21498.0,2,31750.0,0,145.0,61.4,2.0
7,2016.0,18698.0,2,31131.0,0,145.0,54.3,3.0
7,2010.0,6980.0,1,79000.0,2,300.0,35.3,1.8
7,2017.0,19498.0,2,54028.0,0,150.0,65.7,2.0
7,2011.0,5740.0,1,85026.14414204747,0,160.0,52.3,2.1
7,2018.0,22998.0,2,16089.0,0,145.0,65.7,2.0
7,2017.0,19698.0,2,25152.0,0,145.0,72.4,2.0
7,2015.0,20298.0,2,28056.0,0,160.0,51.4,3.0
7,2017.0,22270.0,0,13398.0,0,165.0,52.3,3.0
7,2015.0,17698.0,2,27622.0,0,145.0,54.3,3.0
7,2017.0,19998.0,2,52570.0,0,30.0,65.7,2.0
7,2015.0,18498.0,2,40348.0,0,145.0,54.3,3.0
7,2017.0,20880.0,0,37000.0,0,30.0,65.7,2.0
7,2019.0,28998.0,2,26100.0,0,145.0,65.7,2.0
7,2017.0,22998.0,2,16910.0,0,145.0,65.7,2.0
7,2019.0,36998.0,2,629.0,2,145.0,32.9,2.0
7,2020.0,35438.0,0,3500.0,0,145.0,42.8,2.0
7,2019.0,36998.0,2,5211.0,0,145.0,70.6,2.0
7,2017.0,19498.0,2,47007.0,0,30.0,65.7,2.0
7,2016.0,20298.0,2,23411.0,0,160.0,52.3,3.0
7,2017.0,20998.0,2,27671.0,0,145.0,72.4,2.0
7,2016.0,20298.0,2,25273.0,0,145.0,54.3,3.0
7,2018.0,21498.0,2,25454.0,0,150.0,72.4,2.0
7,2019.0,29991.0,0,10356.0,0,145.0,70.6,2.0
7,2018.0,32498.0,2,9252.0,2,145.0,33.6,3.0
7,2017.0,22890.0,0,34934.0,0,150.0,61.4,2.0
7,2019.0,47718.74397568762,2,2669.0,0,145.0,47.1,3.0
7,2016.0,19998.0,2,29511.0,0,30.0,65.7,2.0
7,2015.0,19498.0,2,26999.0,0,160.0,51.4,3.0
7,2019.0,38998.0,2,378.0,0,145.0,57.7,2.0
7,2015.0,20769.0,0,21874.0,0,165.0,51.4,3.0
7,2017.0,23995.0,2,19300.0,0,30.0,65.7,2.0
7,2019.0,46998.0,2,3325.0,2,145.0,32.5,3.0
7,2015.0,17998.0,2,42577.0,0,145.0,54.3,3.0
7,2017.0,20498.0,2,20195.0,0,20.0,72.4,2.0
7,2017.0,21950.0,0,26355.0,0,145.0,65.7,2.0
7,2019.0,24541.0,0,10279.0,0,145.0,67.3,2.0
7,2013.0,9495.0,2,82312.0,0,145.0,55.4,2.1
7,2017.0,21998.0,2,16062.0,0,145.0,52.3,3.0
7,2009.88029543607,4880.0,0,58000.0,0,315.0,37.2,3.0
7,2017.0,20998.0,2,21352.0,0,20.0,72.4,2.0
7,2015.0,17480.0,0,22000.0,0,140.0,53.3,3.0
7,2015.0,19698.0,2,23578.0,0,150.0,54.3,3.0
7,2014.0,15998.0,2,43125.0,0,200.0,45.6,3.0
7,2017.0,19498.0,2,33037.0,0,150.0,72.4,2.0
7,2017.0,23995.0,2,16820.0,0,145.0,51.4,3.0
7,2019.0,39998.0,2,2675.0,1,135.0,97.62807002109429,2.0
7,2017.0,19998.0,2,46230.0,0,145.0,67.3,2.0
7,2014.0,13998.0,2,33404.0,0,125.0,58.9,2.1
7,2015.0,19498.0,2,17167.0,0,145.0,54.3,3.0
7,2016.0,15635.0,2,30132.0,0,30.0,64.2,2.1
7,2016.0,20498.0,2,37915.0,0,160.0,51.4,3.0
7,2017.0,20498.0,2,35494.0,0,145.0,61.4,2.0
8,2015.0,16998.0,2,42129.0,0,125.0,56.5,2.1
8,2015.0,17498.0,2,25909.0,0,125.0,56.5,2.1
8,2017.0,30498.0,2,20085.0,2,145.0,38.2,2.0
8,2014.0,20498.0,2,45231.0,2,235.0,37.7,2.0
8,2017.0,16498.0,1,32917.0,0,30.0,64.2,2.1
8,2015.0,17998.0,2,42942.0,2,200.0,42.8,2.0
8,2019.0,22375.0,0,13850.0,0,145.0,67.3,2.1
8,2017.0,22750.0,2,9000.0,0,145.0,56.5,2.1
8,2016.0,16998.0,2,50543.0,0,125.0,56.5,2.1
8,2015.0,17498.0,2,30154.0,0,125.0,55.4,2.1
8,2016.0,17998.0,2,39017.0,0,125.0,56.5,2.1
8,2016.0,21595.0,2,21512.0,2,200.0,43.5,2.0
8,2018.0,20350.0,0,24556.0,0,145.0,56.5,2.1
